Match 1; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.7770833333333333; Defensive field percentage: 0.22291666666666668
Match 2; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.8066666666666666; Defensive field percentage: 0.19333333333333333
Match 3; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.7266666666666667; Defensive field percentage: 0.2733333333333333
Match 4; Goals pro: 0; Goals against: 3; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.43125; Defensive field percentage: 0.56875
Match 5; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.36666666666666664; Defensive field percentage: 0.6333333333333333
Match 6; Goals pro: 1; Goals against: 4; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5279166666666667; Defensive field percentage: 0.47208333333333335
Match 7; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.8483333333333334; Defensive field percentage: 0.15166666666666667
Match 8; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.47458333333333336; Defensive field percentage: 0.5254166666666666
Match 9; Goals pro: 0; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.7020833333333333; Defensive field percentage: 0.29791666666666666
Match 10; Goals pro: 0; Goals against: 4; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.4075; Defensive field percentage: 0.5925
Match 11; Goals pro: 0; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6083333333333333; Defensive field percentage: 0.39166666666666666
Match 12; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.0375; Defensive field percentage: 0.9625
Match 13; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.09708333333333333; Defensive field percentage: 0.9029166666666667
