Match 1; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.5479166666666667; Defensive field percentage: 0.45208333333333334
Match 2; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.65875; Defensive field percentage: 0.34125
Match 3; Goals pro: 1; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.74375; Defensive field percentage: 0.25625
Match 4; Goals pro: 2; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.60875; Defensive field percentage: 0.39125
Match 5; Goals pro: 0; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.6325; Defensive field percentage: 0.3675
Match 6; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.6425; Defensive field percentage: 0.3575
Match 7; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.295; Defensive field percentage: 0.705
Match 8; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.87125; Defensive field percentage: 0.12875
Match 9; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.26958333333333334; Defensive field percentage: 0.7304166666666667
Match 10; Goals pro: 2; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.3329166666666667; Defensive field percentage: 0.6670833333333334
Match 11; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.23291666666666666; Defensive field percentage: 0.7670833333333333
Match 12; Goals pro: 2; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.5945833333333334; Defensive field percentage: 0.40541666666666665
Match 13; Goals pro: 2; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.4820833333333333; Defensive field percentage: 0.5179166666666667
Match 14; Goals pro: 0; Goals against: 1; Offensive Free balls: 2; Defensive Free balls: 0; Offensive field percentage: 0.62; Defensive field percentage: 0.38
Match 15; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5570833333333334; Defensive field percentage: 0.4429166666666667
Match 16; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.3075; Defensive field percentage: 0.6925
Match 17; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.34458333333333335; Defensive field percentage: 0.6554166666666666
Match 18; Goals pro: 1; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.63625; Defensive field percentage: 0.36375
Match 19; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.3466666666666667; Defensive field percentage: 0.6533333333333333
Match 20; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.7204166666666667; Defensive field percentage: 0.27958333333333335
Match 21; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 2; Offensive field percentage: 0.30583333333333335; Defensive field percentage: 0.6941666666666667
Match 22; Goals pro: 2; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.67; Defensive field percentage: 0.33
Match 23; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.35125; Defensive field percentage: 0.64875
Match 24; Goals pro: 1; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.3908333333333333; Defensive field percentage: 0.6091666666666666
Match 25; Goals pro: 0; Goals against: 4; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.39375; Defensive field percentage: 0.60625
Match 26; Goals pro: 1; Goals against: 0; Offensive Free balls: 2; Defensive Free balls: 0; Offensive field percentage: 0.64625; Defensive field percentage: 0.35375
Match 27; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.44958333333333333; Defensive field percentage: 0.5504166666666667
Match 28; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5741666666666667; Defensive field percentage: 0.42583333333333334
Match 29; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.31125; Defensive field percentage: 0.68875
Match 30; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.29833333333333334; Defensive field percentage: 0.7016666666666667
Match 31; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.5045833333333334; Defensive field percentage: 0.49541666666666667
Match 32; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.4479166666666667; Defensive field percentage: 0.5520833333333334
Match 33; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.3754166666666667; Defensive field percentage: 0.6245833333333334
Match 34; Goals pro: 2; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.10375; Defensive field percentage: 0.89625
Match 35; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.16041666666666668; Defensive field percentage: 0.8395833333333333
Match 36; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.49666666666666665; Defensive field percentage: 0.5033333333333333
Match 37; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.7158333333333333; Defensive field percentage: 0.2841666666666667
Match 38; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.5070833333333333; Defensive field percentage: 0.49291666666666667
Match 39; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.44125; Defensive field percentage: 0.55875
Match 40; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6683333333333333; Defensive field percentage: 0.33166666666666667
Match 41; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5391666666666667; Defensive field percentage: 0.4608333333333333
Match 42; Goals pro: 1; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.48625; Defensive field percentage: 0.51375
Match 43; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.2708333333333333; Defensive field percentage: 0.7291666666666666
Match 44; Goals pro: 1; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.20208333333333334; Defensive field percentage: 0.7979166666666667
Match 45; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.23458333333333334; Defensive field percentage: 0.7654166666666666
Match 46; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.16375; Defensive field percentage: 0.83625
Match 47; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6125; Defensive field percentage: 0.3875
Match 48; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.3329166666666667; Defensive field percentage: 0.6670833333333334
Match 49; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6070833333333333; Defensive field percentage: 0.3929166666666667
Match 50; Goals pro: 3; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.53875; Defensive field percentage: 0.46125
Match 51; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.245; Defensive field percentage: 0.755
