Match 1; Goals pro: 0; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.8025; Defensive field percentage: 0.1975
Match 2; Goals pro: 2; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.64375; Defensive field percentage: 0.35625
Match 3; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.325; Defensive field percentage: 0.675
Match 4; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.6475; Defensive field percentage: 0.3525
Match 5; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.53625; Defensive field percentage: 0.46375
Match 6; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.20416666666666666; Defensive field percentage: 0.7958333333333333
Match 7; Goals pro: 0; Goals against: 3; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.05291666666666667; Defensive field percentage: 0.9470833333333334
Match 8; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.017916666666666668; Defensive field percentage: 0.9820833333333333
Match 9; Goals pro: 2; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.38083333333333336; Defensive field percentage: 0.6191666666666666
Match 10; Goals pro: 1; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.49583333333333335; Defensive field percentage: 0.5041666666666667
Match 11; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.14333333333333334; Defensive field percentage: 0.8566666666666667
Match 12; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.385; Defensive field percentage: 0.615
Match 13; Goals pro: 2; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.3925; Defensive field percentage: 0.6075
Match 14; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.41458333333333336; Defensive field percentage: 0.5854166666666667
Match 15; Goals pro: 1; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.8416666666666667; Defensive field percentage: 0.15833333333333333
Match 16; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.45958333333333334; Defensive field percentage: 0.5404166666666667
Match 17; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.5904166666666667; Defensive field percentage: 0.40958333333333335
Match 18; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.07708333333333334; Defensive field percentage: 0.9229166666666667
Match 19; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 1.0; Defensive field percentage: 0.0
Match 20; Goals pro: 1; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.23083333333333333; Defensive field percentage: 0.7691666666666667
