Match 1; Goals pro: 0; Goals against: 4; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6141666666666666; Defensive field percentage: 0.3858333333333333
Match 2; Goals pro: 1; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.54; Defensive field percentage: 0.46
Match 3; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.7283333333333334; Defensive field percentage: 0.27166666666666667
Match 4; Goals pro: 2; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.2866666666666667; Defensive field percentage: 0.7133333333333334
Match 5; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.01625; Defensive field percentage: 0.98375
Match 6; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.8854166666666666; Defensive field percentage: 0.11458333333333333
Match 7; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.37041666666666667; Defensive field percentage: 0.6295833333333334
Match 8; Goals pro: 1; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.53375; Defensive field percentage: 0.46625
Match 9; Goals pro: 1; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.11291666666666667; Defensive field percentage: 0.8870833333333333
Match 10; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.19666666666666666; Defensive field percentage: 0.8033333333333333
Match 11; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.9891666666666666; Defensive field percentage: 0.010833333333333334
Match 12; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.19916666666666666; Defensive field percentage: 0.8008333333333333
Match 13; Goals pro: 0; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.3545833333333333; Defensive field percentage: 0.6454166666666666
Match 14; Goals pro: 0; Goals against: 0; Offensive Free balls: 2; Defensive Free balls: 0; Offensive field percentage: 0.55; Defensive field percentage: 0.45
Match 15; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 3; Offensive field percentage: 0.105; Defensive field percentage: 0.895
Match 16; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.3229166666666667; Defensive field percentage: 0.6770833333333334
Match 17; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.41625; Defensive field percentage: 0.58375
Match 18; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5020833333333333; Defensive field percentage: 0.4979166666666667
Match 19; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.1575; Defensive field percentage: 0.8425
Match 20; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.11875; Defensive field percentage: 0.88125
Match 21; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.034583333333333334; Defensive field percentage: 0.9654166666666667
Match 22; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.8666666666666667; Defensive field percentage: 0.13333333333333333
Match 23; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.6704166666666667; Defensive field percentage: 0.32958333333333334
Match 24; Goals pro: 1; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.5008333333333334; Defensive field percentage: 0.49916666666666665
