Match 1; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.017916666666666668; Defensive field percentage: 0.9820833333333333
Match 2; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.015833333333333335; Defensive field percentage: 0.9841666666666666
Match 3; Goals pro: 1; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.7458333333333333; Defensive field percentage: 0.25416666666666665
Match 4; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.7229166666666667; Defensive field percentage: 0.27708333333333335
Match 5; Goals pro: 2; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.4216666666666667; Defensive field percentage: 0.5783333333333334
Match 6; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.6804166666666667; Defensive field percentage: 0.31958333333333333
Match 7; Goals pro: 0; Goals against: 4; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.25416666666666665; Defensive field percentage: 0.7458333333333333
Match 8; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.14791666666666667; Defensive field percentage: 0.8520833333333333
Match 9; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.2970833333333333; Defensive field percentage: 0.7029166666666666
Match 10; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.485; Defensive field percentage: 0.515
Match 11; Goals pro: 0; Goals against: 3; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.63; Defensive field percentage: 0.37
Match 12; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5295833333333333; Defensive field percentage: 0.47041666666666665
Match 13; Goals pro: 0; Goals against: 6; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.6091666666666666; Defensive field percentage: 0.3908333333333333
Match 14; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.27125; Defensive field percentage: 0.72875
Match 15; Goals pro: 1; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.7320833333333333; Defensive field percentage: 0.2679166666666667
Match 16; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.29833333333333334; Defensive field percentage: 0.7016666666666667
Match 17; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.20208333333333334; Defensive field percentage: 0.7979166666666667
Match 18; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.6516666666666666; Defensive field percentage: 0.34833333333333333
Match 19; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 2; Offensive field percentage: 0.3825; Defensive field percentage: 0.6175
Match 20; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.3433333333333333; Defensive field percentage: 0.6566666666666666
Match 21; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.11041666666666666; Defensive field percentage: 0.8895833333333333
Match 22; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.37083333333333335; Defensive field percentage: 0.6291666666666667
Match 23; Goals pro: 1; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.7541666666666667; Defensive field percentage: 0.24583333333333332
Match 24; Goals pro: 1; Goals against: 3; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.4895833333333333; Defensive field percentage: 0.5104166666666666
Match 25; Goals pro: 0; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.71; Defensive field percentage: 0.29
Match 26; Goals pro: 0; Goals against: 3; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5420833333333334; Defensive field percentage: 0.4579166666666667
Match 27; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5033333333333333; Defensive field percentage: 0.49666666666666665
Match 28; Goals pro: 1; Goals against: 5; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.3933333333333333; Defensive field percentage: 0.6066666666666667
