Match 1; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.5645833333333333; Defensive field percentage: 0.4354166666666667
Match 2; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6016666666666667; Defensive field percentage: 0.3983333333333333
Match 3; Goals pro: 0; Goals against: 3; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.05875; Defensive field percentage: 0.94125
Match 4; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.97375; Defensive field percentage: 0.02625
Match 5; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.53625; Defensive field percentage: 0.46375
Match 6; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.93125; Defensive field percentage: 0.06875
Match 7; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.04541666666666667; Defensive field percentage: 0.9545833333333333
Match 8; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.23833333333333334; Defensive field percentage: 0.7616666666666667
Match 9; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.22583333333333333; Defensive field percentage: 0.7741666666666667
Match 10; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.5445833333333333; Defensive field percentage: 0.4554166666666667
Match 11; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.54625; Defensive field percentage: 0.45375
Match 12; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.46625; Defensive field percentage: 0.53375
Match 13; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.12541666666666668; Defensive field percentage: 0.8745833333333334
Match 14; Goals pro: 1; Goals against: 3; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.39875; Defensive field percentage: 0.60125
Match 15; Goals pro: 1; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.25333333333333335; Defensive field percentage: 0.7466666666666667
Match 16; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.135; Defensive field percentage: 0.865
Match 17; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.6683333333333333; Defensive field percentage: 0.33166666666666667
Match 18; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.8729166666666667; Defensive field percentage: 0.12708333333333333
Match 19; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.32125; Defensive field percentage: 0.67875
Match 20; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.3720833333333333; Defensive field percentage: 0.6279166666666667
Match 21; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.555; Defensive field percentage: 0.445
Match 22; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.5145833333333333; Defensive field percentage: 0.48541666666666666
Match 23; Goals pro: 1; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.5479166666666667; Defensive field percentage: 0.45208333333333334
Match 24; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 2; Offensive field percentage: 0.3883333333333333; Defensive field percentage: 0.6116666666666667
Match 25; Goals pro: 1; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.7645833333333333; Defensive field percentage: 0.23541666666666666
Match 26; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.8533333333333334; Defensive field percentage: 0.14666666666666667
Match 27; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.9316666666666666; Defensive field percentage: 0.06833333333333333
Match 28; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.1825; Defensive field percentage: 0.8175
Match 29; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.46416666666666667; Defensive field percentage: 0.5358333333333334
Match 30; Goals pro: 0; Goals against: 3; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.49375; Defensive field percentage: 0.50625
Match 31; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.10958333333333334; Defensive field percentage: 0.8904166666666666
Match 32; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5241666666666667; Defensive field percentage: 0.47583333333333333
Match 33; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.5470833333333334; Defensive field percentage: 0.4529166666666667
Match 34; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.90375; Defensive field percentage: 0.09625
