#{"t_start": 1738267107.8004293, "env_id": "None"}
r,l,t
-29.524661,800,3.828939
6.547462,800,7.576923
37.046266,93,8.078026
51.464076,236,9.118826
24.100106,35,9.269288
86.997662,329,17.714442
78.369427,473,19.761223
51.860166,211,20.736665
25.362453,26,20.855504
69.269172,580,23.574532
23.984188,41,23.768331
13.600403,800,33.293513
21.455398,800,36.925227
33.766242,33,37.081721
24.860465,28,37.218348
25.177644,32,37.372033
37.731633,185,38.227606
29.935464,86,38.639043
26.822609,35,38.819621
56.964008,256,40.11069
24.914175,27,40.251092
29.596466,158,41.030419
38.656874,327,48.312242
-15.490737,800,51.962479
34.872525,54,52.235791
63.651891,327,53.815087
38.883401,800,63.333591
-11.91771,800,67.110891
110.883337,800,70.601577
9.750194,800,80.082864
28.369597,800,83.642395
-16.94063,800,93.421708
36.248109,38,93.622764
-35.510734,468,95.947382
64.950396,283,97.480796
26.381166,34,97.666997
29.758039,43,97.898889
38.856374,141,98.545966
70.532094,312,100.03984
-9.021891,800,109.506715
40.705086,67,109.827808
48.308693,157,110.531587
37.041054,104,111.036674
29.277561,39,111.209628
41.764986,133,111.846275
29.015658,86,112.271153
108.926587,729,115.73843
27.739673,37,115.922906
29.082194,35,116.092259
28.98666,59,116.361771
127.973927,584,125.072616
36.151745,131,125.637364
36.719443,119,126.178482
30.915562,57,126.462093
38.232538,96,126.913544
34.706524,625,129.788225
55.170522,335,131.435456
16.248858,800,141.069786
39.367034,59,141.347277
8.950966,800,145.002002
40.101138,43,145.213256
64.050769,286,146.549306
56.879972,264,147.80254
31.520408,33,147.96917
31.747863,46,148.199585
29.291079,52,148.423223
29.340098,800,157.94528
122.94941,800,161.674089
38.1488,113,162.263456
44.721696,201,163.254675
48.042253,146,163.957904
77.53243,379,171.449663
76.374519,601,174.253506
102.724698,800,177.891466
33.767646,102,178.433731
31.513368,105,179.012308
31.294049,32,179.172738
133.961438,800,188.922212
32.195632,31,189.05642
43.668776,158,189.713061
-7.459513,800,193.491278
120.604509,576,202.21845
13.697964,800,205.972898
49.962315,800,209.802638
106.09259,632,218.575428
55.775764,175,219.387911
74.523143,800,223.270217
-20.944837,800,226.939147
79.61581,376,234.417927
43.368814,94,234.851113
88.105109,800,238.52452
-47.579262,800,248.356784
81.775604,800,252.490873
48.868847,126,253.109541
52.741154,185,254.000664
4.801054,800,257.669383
44.899829,139,264.504077
44.778946,171,265.317794
66.595523,335,266.747481
76.939217,360,268.469002
41.021318,199,269.501098
75.395358,593,272.205253
41.379738,64,272.524778
37.615592,57,272.824004
45.808645,169,273.623208
36.71814,71,273.977262
38.573185,41,280.188926
72.414223,332,281.852893
47.445421,158,282.513824
84.956322,368,284.233357
25.111207,800,288.024272
62.271181,184,288.968761
104.435237,664,298.20497
97.348738,477,300.442806
-23.806546,631,303.507302
73.072557,256,304.738461
39.904418,69,305.071723
38.496305,70,305.405616
59.796786,185,311.889966
-29.516939,800,315.724973
47.886402,48,315.971508
94.935633,800,319.665181
103.789456,493,327.832239
9.062124,800,331.533894
137.472063,760,335.166913
48.897145,69,335.490937
118.903932,800,345.250317
38.867053,61,345.560278
48.660372,136,346.216071
85.750952,800,349.977874
102.831632,527,358.701237
70.737509,800,362.439685
38.526779,60,362.745096
75.207772,304,364.288325
134.117556,625,367.030647
38.828045,63,367.306825
40.334947,53,367.538121
76.650665,468,375.586409
56.502417,318,377.043995
86.994508,361,378.757512
54.639135,120,379.301033
68.83461,278,380.633015
105.461205,489,382.928405
42.445652,47,383.142161
43.043368,260,390.325767
49.136859,160,391.064252
47.744902,170,391.887795
48.453135,115,392.457221
77.616102,209,393.612034
92.240854,800,397.759081
82.657846,375,405.649366
60.864365,620,408.695011
103.297855,800,412.922663
102.487129,529,415.452762
122.510684,800,424.805481
50.989467,124,425.407842
44.329048,63,425.701818
46.343789,79,426.054737
70.331798,169,426.834707
46.807571,71,427.16136
49.460183,131,427.730891
46.001017,43,427.927836
44.551461,51,428.180067
-35.517923,800,437.793626
60.602092,135,438.451252
69.405352,285,439.836254
45.191649,45,440.055765
67.845018,501,442.509817
-44.13074,800,446.418524
80.723637,800,456.063758
59.933142,142,456.745619
45.649383,44,456.983224
46.329156,40,457.183921
61.662118,800,461.023749
56.233261,65,461.364157
96.916441,502,469.602289
83.48715,333,471.378275
-32.896855,800,475.107061
54.278461,49,475.376158
81.455871,447,477.661624
60.565726,133,478.299951
102.225025,800,487.69657
73.498866,180,488.64524
109.669849,659,491.945618
75.833553,288,493.261553
79.93121,800,502.957264
102.941803,435,505.338193
94.12341,800,509.07981
47.533171,184,515.825626
50.505276,63,516.190561
137.590523,635,519.592303
46.957042,70,519.968733
141.497697,800,523.652058
57.010744,136,524.365182
52.648537,79,524.785762
88.108067,335,532.27318
68.672645,340,533.748137
96.645641,363,535.517375
90.529115,377,537.438998
59.68189,114,538.070568
51.516903,68,538.440449
48.741615,73,538.828133
62.94308,800,548.05785
55.886472,110,548.581119
54.373533,220,549.545292
64.142319,139,550.159882
58.679842,119,550.688757
96.694849,800,554.449392
55.286867,104,554.963203
108.392614,411,563.279277
54.606355,800,567.339105
60.646235,800,571.540504
101.56426,800,581.773465
47.234489,86,582.250629
50.245612,136,582.852883
52.530872,47,583.078927
132.664945,702,586.436752
82.581777,800,596.494246
62.631089,61,596.782891
75.240541,237,597.947328
64.918549,190,598.91621
73.895892,212,599.94215
48.638677,66,600.256573
84.688767,316,601.779424
119.582193,488,604.148027
53.19925,134,604.865882
101.472492,350,612.630835
128.7841,535,615.192773
82.781837,415,617.3812
60.780454,86,617.842519
53.333746,66,618.192927
54.991779,66,618.553372
17.246204,570,621.215892
78.150774,260,628.315419
7.822729,800,632.680208
65.075508,800,636.626036
67.346281,116,637.273776
-49.938706,106,637.912398
12.281606,576,646.707171
139.601116,565,649.321344
95.720644,800,653.364508
57.695762,96,653.887217
70.994617,800,663.428224
67.690443,153,664.212761
72.297996,172,664.985162
74.360388,168,665.764119
72.168598,800,669.6496
108.077562,337,677.218215
94.340373,312,678.794771
56.243798,65,679.160673
90.700387,497,681.847762
87.962594,237,683.097901
146.819511,738,692.367161
64.786901,800,696.13113
92.493242,451,698.23402
78.845986,318,699.790575
61.036575,112,700.314156
92.162043,800,710.105753
61.606502,166,711.002284
62.754473,76,711.428006
54.117615,70,711.835386
58.496018,126,712.464417
95.768003,800,716.602961
101.737216,800,726.444676
144.910442,800,730.312067
110.969355,645,733.308966
32.88481,800,743.26585
78.593095,290,744.682637
57.188671,89,745.11942
117.006061,800,748.944072
95.280232,574,757.920264
106.628152,428,759.993069
92.069233,273,761.306692
96.786168,383,763.101977
78.462616,281,764.450023
45.523897,113,765.022529
83.695768,800,775.114202
-32.103169,800,779.453991
71.80461,149,780.21076
84.628547,271,781.633948
64.425125,147,782.356539
131.51408,514,790.771917
88.334556,254,791.945746
55.876035,75,792.315347
60.257354,67,792.611918
119.263673,649,795.758817
-36.50995,800,805.983036
104.866215,440,808.126893
57.173931,477,810.364174
70.565605,120,810.969903
78.532991,800,815.343684
48.502923,800,825.692233
102.189448,336,827.677201
169.235925,768,831.869473
107.794628,800,841.96692
70.070342,71,842.344731
27.588438,800,846.286483
71.40533,128,846.809598
-26.220891,800,857.442766
45.465821,800,861.995509
66.517804,217,863.122764
90.474961,292,864.845043
62.896782,69,865.263812
87.322546,369,872.924727
95.226631,800,877.200135
160.33801,788,881.483343
58.861111,135,882.116673
104.27222,385,889.929739
76.794177,245,891.127413
74.915676,204,892.070668
63.37075,106,892.590685
63.868673,106,893.053013
64.855245,109,893.611233
35.482076,800,897.813538
72.960486,105,898.278842
86.711905,199,899.169924
71.395641,222,906.191884
1.835941,800,910.167255
63.33669,129,910.83384
105.731435,393,912.726408
56.874354,800,922.914539
49.070658,800,926.890216
68.210842,63,927.223126
61.641465,153,927.94635
80.585778,220,928.945177
102.947067,800,938.956383
65.248261,55,939.257801
91.002073,244,940.51033
74.380824,107,941.035457
67.941728,105,941.557321
68.298056,195,942.527192
128.035185,463,944.997768
62.952387,78,945.377714
66.806482,141,946.091519
121.339242,800,955.915316
-43.583116,83,956.341203
74.922434,77,956.725851
61.025166,56,957.029237
66.682183,65,957.377713
96.088189,361,959.171132
67.175043,93,959.647599
97.986596,346,961.451394
66.765367,75,961.848751
110.371981,387,963.757533
67.109351,89,964.117951
45.251842,800,974.076335
71.933958,133,974.901075
68.329696,93,975.521399
71.027522,149,976.328849
75.890377,800,980.306428
11.665148,515,988.780418
73.920447,76,989.213996
93.922878,340,991.213344
73.493343,145,991.935047
-41.06385,118,992.537532
73.825196,88,992.959043
68.841803,107,993.473694
77.58689,378,995.299225
91.615714,324,996.979309
65.574996,138,1003.832964
68.23023,86,1004.247206
113.14715,467,1006.520605
82.572336,216,1007.597992
81.557734,172,1008.461326
