#{"t_start": 1735703674.2087064, "env_id": "None"}
r,l,t
21.687315,86,0.982002
-8.959958,114,1.454662
4.102166,38,1.644835
-34.925214,600,4.213254
8.365345,600,6.893151
19.231664,102,7.334609
2.965462,50,7.554034
21.82119,159,8.309755
22.037883,75,8.673872
29.973341,128,9.241932
4.606685,47,9.445064
32.64533,119,15.936163
30.516661,154,16.645046
28.95894,320,18.097656
31.946561,278,19.338112
2.380047,57,19.587265
-35.534238,600,22.101116
14.686918,30,22.253605
3.271414,56,22.511319
15.56357,41,22.695354
2.525848,31,22.843543
4.500837,44,23.065517
0.816045,600,31.410397
5.285891,19,31.48288
19.172707,51,31.697925
3.807231,25,31.789697
4.055984,28,31.894799
0.743953,600,34.57894
19.618709,85,34.943933
2.516665,62,35.19689
7.278704,30,35.319101
2.775743,78,35.641679
50.211321,368,37.361968
10.991015,50,37.612936
17.94164,48,37.805988
2.765466,52,38.060683
31.073041,185,38.875244
25.601952,183,45.4855
3.185081,47,45.678612
1.251014,600,48.289614
26.510753,74,48.641293
15.96016,48,48.844019
7.253617,600,51.516833
23.192353,113,52.0103
10.228386,65,52.268286
-37.738513,600,60.702828
-2.139196,600,63.29023
42.111794,264,64.476963
16.435916,86,64.86124
17.599111,113,65.338209
28.40508,203,66.213576
2.149949,600,68.902891
3.310119,60,75.150736
27.028105,73,75.490493
1.927792,600,78.034636
30.202539,142,78.681075
-0.465538,600,81.269499
16.607944,40,81.440136
1.80941,600,89.933287
12.319146,32,90.065365
10.425228,43,90.259466
34.061875,156,90.93942
2.711701,30,91.062609
3.85631,52,91.27801
3.06553,50,91.510411
5.520985,55,91.743758
29.411288,122,92.291638
2.338647,600,94.840581
4.885848,44,95.027508
24.309647,166,95.743688
20.025777,58,95.991106
22.271271,89,96.382902
17.202242,68,96.67805
20.636534,170,97.410149
22.415385,185,98.290428
16.108815,115,104.501227
2.628152,48,104.72484
26.101192,111,105.20822
15.436782,80,105.585133
4.622795,23,105.673261
6.293878,24,105.790587
4.369238,21,105.880713
23.400067,67,106.181984
3.008693,54,106.433639
18.301535,98,106.849331
2.223005,36,106.997648
8.629538,31,107.118795
0.277165,600,109.765622
22.660543,99,110.163703
2.896434,43,110.368014
-4.135184,600,113.016368
32.772189,121,119.428752
2.391373,27,119.561426
2.551848,36,119.729695
34.448124,177,120.514596
5.264182,29,120.643079
8.893365,31,120.767423
16.913241,41,120.957848
-5.97592,600,123.654933
17.189121,59,123.89417
-8.236224,600,126.403861
12.207447,40,126.589862
27.880033,103,127.029342
2.511218,96,127.452918
16.933721,60,127.721786
2.411936,49,127.953021
17.553356,79,134.028065
27.417291,114,134.581055
21.632004,103,135.034492
18.277327,49,135.23888
4.718576,45,135.449476
6.905341,47,135.686403
-0.364449,600,138.236084
7.035809,74,138.559382
3.279125,42,138.773961
24.67083,109,139.3287
3.353963,67,139.617686
6.966347,23,139.71175
28.70107,86,140.088099
23.541825,101,140.523785
1.157098,600,148.81261
2.786856,47,149.019742
25.441675,149,149.692706
2.491837,50,149.914518
19.071017,57,150.136025
21.445862,55,150.370907
3.287349,33,150.528614
4.662983,600,153.241355
5.706106,27,153.368019
17.573086,107,153.853143
24.819689,77,154.254106
10.194553,42,154.467051
4.728839,88,154.884159
10.448737,67,155.200902
6.923693,69,155.521825
28.49259,88,155.945694
18.897678,87,156.304027
6.308403,24,156.416812
7.094634,27,156.539308
13.70672,34,156.696521
24.71967,107,157.166255
33.236444,210,163.823436
2.607085,56,164.038726
5.593149,46,164.241236
27.930922,200,165.192563
24.070326,94,165.623518
-6.779702,600,168.047954
24.34425,99,168.461472
26.169398,106,168.872251
30.965923,113,169.273145
7.347001,28,169.371212
-0.853563,600,171.623842
4.777379,37,171.775349
8.106022,32,171.903415
27.051949,108,177.353245
4.186213,60,177.604789
4.588673,50,177.782036
33.159946,289,178.91978
33.471433,145,179.508718
22.705458,94,179.88954
1.979297,21,179.979089
3.90773,43,180.158296
13.596633,35,180.303896
22.368965,124,180.806144
-27.226428,600,183.182075
30.829707,67,183.470075
23.474737,146,184.037425
5.954762,52,184.257067
7.765224,59,184.487655
8.448946,19,184.558815
3.317702,44,184.724116
32.88028,227,190.73821
3.453897,44,190.931518
18.66339,94,191.323677
27.823661,115,191.770544
15.574863,63,192.012709
23.821901,70,192.291304
4.663637,29,192.397531
5.413365,46,192.566608
-3.544186,600,194.994966
3.707053,31,195.116102
10.170207,29,195.251931
2.470146,41,195.398941
5.574597,46,195.589799
-1.712882,600,198.010828
-0.473367,600,205.733133
11.446757,66,205.989655
4.645253,27,206.113361
3.991852,31,206.240239
26.946972,104,206.648072
15.267127,54,206.862597
4.490794,25,206.95269
18.928273,77,207.265485
9.350881,34,207.410972
3.593824,50,207.622685
26.643491,144,208.206923
3.012437,47,208.386751
11.39734,57,208.634885
9.09633,43,208.824673
4.293815,29,208.923383
2.616937,600,211.356947
2.881179,39,211.523274
3.970582,49,211.740588
4.050157,600,219.766444
39.66971,232,220.724657
12.95486,120,221.263788
27.029059,99,221.676033
3.056656,600,224.204494
5.112043,31,224.312814
-25.744537,600,232.880828
20.693897,63,233.112024
3.601815,76,233.428888
16.148445,125,233.944138
2.725417,26,234.068243
17.275959,41,234.263661
18.161629,51,234.507239
8.580344,29,234.627794
16.427993,55,234.855902
19.45433,57,235.125359
2.190416,53,235.345185
6.187236,27,235.460508
13.633588,40,235.655796
2.663273,21,235.748419
8.722958,43,235.911247
19.629761,79,236.230395
7.944039,30,236.348324
-34.297841,600,239.055125
22.023292,52,239.282309
9.27262,59,239.531328
2.334786,50,239.744333
15.410094,97,240.152224
14.587667,50,240.354379
23.976273,70,240.674578
23.02743,103,241.14735
3.576059,36,247.194832
2.663111,31,247.331342
5.468033,26,247.461164
8.230861,62,247.728604
-1.508445,600,250.251395
3.657251,41,250.464889
22.169658,83,250.852338
34.03227,186,251.721338
0.00552,600,254.220267
6.387563,52,254.476875
18.43961,51,254.674156
3.409537,24,254.781093
26.719,126,255.330668
22.840921,66,255.649481
36.325637,222,262.395582
13.951198,53,262.636927
-0.247999,600,265.369034
5.772733,28,265.515167
24.667972,125,266.080311
42.150005,423,267.967449
0.304901,600,270.736846
15.117421,52,270.944715
2.629762,31,276.62072
31.72013,162,277.323673
3.571935,59,277.594239
4.583128,38,277.765568
2.716539,600,280.352792
4.744435,36,280.511177
5.195548,24,280.629284
3.356533,600,283.209596
30.075007,126,283.804003
30.217372,116,284.326997
20.580946,93,284.74926
23.079765,415,292.559143
11.844582,43,292.729401
31.532766,142,293.269188
19.950567,105,293.725034
3.669431,27,293.847109
24.004182,95,294.294957
16.040774,47,294.500876
-25.852936,600,297.081271
29.736313,79,297.438185
12.026445,70,297.75968
3.308343,600,300.433446
1.228683,600,309.090072
8.035504,37,309.259457
4.187336,600,311.914257
16.177731,78,312.28631
0.501796,600,314.830174
21.481891,86,315.207963
18.52163,52,315.472847
2.387461,25,321.496933
26.77899,75,321.833757
-0.857576,600,324.564095
21.211668,60,324.84504
21.50688,93,325.240379
2.678419,27,325.354965
5.667345,24,325.451403
25.778726,93,325.836962
23.039853,126,326.369033
23.132221,97,326.803182
37.612501,359,328.491197
-0.633512,600,336.657237
4.570446,28,336.802754
14.833173,34,336.95793
23.129145,64,337.223313
23.177726,97,337.659411
17.149325,89,338.03548
2.88818,28,338.172725
2.940453,600,340.734844
14.658346,49,340.944395
18.754176,54,341.218004
4.212779,600,343.850179
9.451799,37,344.004365
11.276658,79,344.380245
6.848013,30,344.50823
6.20494,27,344.632995
23.056231,87,345.018836
24.617656,130,351.576265
26.666249,106,352.036277
1.424897,600,354.713895
29.54574,121,355.26107
4.556285,60,355.551852
13.72651,28,355.69057
3.725274,42,355.897697
3.540295,19,355.975319
8.990283,37,356.161982
23.755729,71,356.518235
4.960685,31,356.671129
18.805811,80,357.03587
9.428225,37,357.23578
8.432269,28,357.364241
15.722513,59,357.644608
32.595507,250,358.827136
-0.428243,600,367.580693
17.793614,89,367.930277
12.676543,47,368.135023
7.883968,37,368.301219
9.086262,70,368.577991
16.494466,52,368.803652
5.181723,68,369.151483
6.936251,82,369.524428
14.455117,50,369.734387
21.331167,82,370.0593
-27.216179,600,372.693869
11.662997,25,372.797269
21.297957,60,373.086964
17.042343,50,373.318016
10.520529,147,373.997863
18.343048,112,374.511245
3.944707,28,374.649664
5.67583,53,374.899903
24.857121,82,375.245064
20.962848,79,375.611327
19.643799,99,381.963641
21.78221,65,382.26071
15.397009,44,382.477309
16.10352,47,382.68022
2.879567,39,382.849203
17.735605,52,383.059798
5.408183,35,383.204684
41.411967,262,384.420209
7.308473,23,384.527744
36.921631,172,385.280748
3.055594,23,385.385831
8.952872,31,385.525436
