#{"t_start": 1736017099.1738641, "env_id": "None"}
r,l,t
104.947734,211,5.401982
452.212716,600,8.803996
200.38397,600,12.269704
73.004624,195,13.403866
28.364405,215,14.607602
229.037496,508,28.585216
51.80826,146,29.899796
301.40397,413,33.611278
-11.425611,600,39.52465
122.676064,291,41.955324
73.029019,208,43.672843
-0.664929,137,54.567753
111.063402,239,56.630733
84.242015,220,58.564524
325.95297,600,63.676782
77.855721,145,64.880818
59.424874,142,66.061412
133.867788,273,68.36622
61.389216,169,69.784359
129.481747,206,71.520338
144.630227,328,83.683256
-9.972327,144,84.930861
28.890175,448,88.685246
89.883531,330,91.52765
0.301973,480,95.640649
96.534653,164,97.043102
19.746309,148,98.308786
115.139406,125,108.759866
31.529168,174,110.299637
180.457146,228,112.413018
40.671232,308,115.049944
-13.082034,474,119.098123
78.062079,162,120.434928
290.073401,600,125.728539
145.663869,228,136.848602
186.771123,291,139.271969
84.091477,270,141.537679
104.20335,167,142.976337
67.074626,252,145.185079
96.012071,273,147.447315
231.064833,343,150.439951
216.201224,600,164.80583
232.933277,363,167.848893
253.840044,349,170.816476
199.996733,305,173.367565
88.547418,159,174.718746
161.449726,350,177.683385
188.682981,299,189.382152
107.029254,158,190.776233
135.652018,206,192.487623
51.840858,138,193.640852
-7.605545,189,195.179399
-8.805503,255,197.33578
165.43921,461,201.162322
419.881264,600,215.529634
92.508843,255,217.730921
131.135056,311,220.293333
125.915861,183,221.813262
165.843457,274,224.079772
81.131618,180,225.546041
30.655741,157,226.88756
86.65977,140,228.146859
55.615091,194,229.771937
456.638659,600,244.510085
123.170729,212,246.332881
79.565703,306,248.839474
70.141963,148,250.102806
94.902099,163,251.51677
54.188005,149,252.815415
115.02101,266,255.043753
96.584462,274,257.306793
228.008965,337,269.062452
23.050861,151,270.328079
24.592883,146,271.515259
125.14745,243,273.550432
70.126031,137,274.702857
146.396347,236,276.638948
47.918115,171,278.071485
123.423858,205,279.842411
115.882132,156,281.153745
83.61339,159,282.560857
91.12356,153,283.917248
36.209522,286,296.354612
103.039077,160,297.700285
99.413155,158,299.004835
132.317503,234,300.921082
383.874254,600,306.168554
124.506812,160,307.53811
49.156015,143,308.975384
87.405601,138,310.321669
165.199172,182,312.010631
90.987639,267,323.977496
89.820934,166,325.332522
182.254191,210,327.081142
62.333233,137,328.251302
56.962909,151,329.477906
53.54881,145,330.649494
247.655854,344,333.53134
88.889899,183,335.065318
113.845591,254,337.144984
127.258008,175,338.590358
60.605618,156,349.017558
100.725013,138,350.145268
106.913506,235,352.081063
83.647815,208,353.83298
170.155374,264,356.053629
84.147155,147,357.334105
200.061303,251,359.444891
