#{"t_start": 1738270436.4684944, "env_id": "None"}
r,l,t
-32.807552,59,14.560798
29.692419,93,15.388505
-6.973114,63,15.903284
6.693346,68,16.449241
-54.860273,95,17.906917
-46.403674,70,18.484726
-17.143851,81,19.189059
-43.876277,70,19.805555
8.389494,63,20.380693
44.78125,98,21.196325
-144.08908,70,21.792131
-913.026148,800,29.409588
-1303.470471,800,48.970757
-18.636907,77,49.587863
-1511.915681,800,56.13864
-7.698974,70,56.900037
-5.110208,73,57.588664
-4.969749,60,58.089036
18.642577,95,58.843655
54.682856,141,59.946181
-8.718428,65,60.448375
9.837662,67,61.02666
-16.461292,68,61.622417
-222.078508,153,73.599009
6.803236,67,74.180331
25.769897,84,74.854066
-60.793844,94,75.584908
-19.457071,202,77.235529
8.226693,62,77.778062
-1290.494281,800,84.160265
-89.065925,141,85.258309
-154.329106,197,86.753804
29.485865,100,87.777343
-835.911122,507,102.608105
-89.291298,130,103.594029
-47.300887,105,104.368607
-40.956349,74,104.999639
5.236111,68,105.565099
-128.518684,61,106.029046
-75.18191,150,107.144985
-400.893332,200,108.715996
-507.879095,800,114.90408
-109.921985,228,116.779876
5.731404,95,126.733829
-144.897436,87,127.463395
87.643652,187,128.873575
-93.438317,348,131.657392
5.927041,72,132.191179
-478.313134,800,138.64121
-580.980476,346,141.562253
16.79664,75,142.256284
-7.972772,65,152.872345
71.192005,78,154.242686
32.076225,153,155.963074
32.296225,311,158.663391
4.484325,69,159.309418
10.029701,71,159.92185
-57.32006,74,160.515718
99.540801,169,161.844014
-116.434731,68,162.463435
11.308124,370,165.516732
-95.112664,186,167.114335
38.491544,95,167.889619
-970.5168,721,180.938864
-25.703201,75,181.521255
15.727724,70,182.060823
-71.683721,68,182.596675
-1142.130478,699,188.089158
-55.920863,124,189.253711
-1.792403,75,190.139587
36.932455,118,191.424653
25.05979,68,191.997904
-24.062464,92,192.791951
20.878975,69,193.350158
-89.043306,172,194.83447
-3.552476,61,195.44129
11.407192,74,207.180089
5.030254,69,207.805258
51.846471,125,208.77445
-50.855323,133,210.039621
-95.335459,104,211.417731
33.891577,81,212.478394
12.380012,62,213.193356
-348.463872,587,218.646921
-423.248062,287,221.035825
-868.666932,800,237.559033
-232.40225,138,238.730093
-142.466817,81,239.411741
