#{"t_start": 1738090794.5856345, "env_id": "None"}
r,l,t
-467.620081,640,9.5925
-364.323797,440,16.263025
-346.501761,440,22.891006
-364.320885,440,29.586996
-695.087856,1000,53.138655
-315.316377,414,60.2088
-431.561345,615,69.92408
-565.055609,720,88.659638
-83.809265,159,91.130523
-343.729793,440,97.944946
-528.493041,1162,123.809698
-817.062696,1600,148.994372
-309.257435,444,163.417851
-474.933903,680,174.02964
-190.899135,307,178.78162
-48.306094,117,180.634231
-154.869458,274,184.987406
-238.159808,377,199.525492
-234.417169,427,206.26626
-60.602943,145,208.519949
-349.558995,557,217.344379
-917.108779,1600,249.903594
-35.819211,117,251.753113
-100.712015,227,255.332645
-886.996639,1360,284.246623
-64.779993,154,286.703634
-8.115423,146,289.02587
-52.43936,115,290.8054
-130.907483,286,295.333147
-692.805135,1280,322.632267
-584.494207,970,338.011882
-182.879762,699,349.037888
-47.732366,108,358.522539
-1007.138019,1600,383.450874
-53.280911,159,385.905443
-1065.884617,1600,418.763442
-513.324894,960,441.182404
-204.427879,515,449.224295
-11.011466,59,450.128254
-520.886473,1600,482.256585
-0.523824,72,483.4053
-208.18255,828,496.375089
-14.351344,61,497.307889
-181.534794,800,516.707543
-15.404095,81,517.998248
-49.161454,122,519.93281
-559.957874,720,531.057716
-1629.717884,1600,563.596077
-14.701739,93,565.001207
-225.590108,504,572.825574
-12.036696,82,574.126457
-27.489994,119,575.974087
-41.520291,420,582.509536
-38.043388,433,596.674839
-35.783434,239,600.405312
-42.828332,120,602.262751
-26.176582,201,605.447811
-10.427859,215,608.813105
-218.012305,485,616.21865
-79.467968,823,636.220938
-38.234557,137,638.376507
-65.358996,148,640.680226
-24.891776,185,643.569018
-4.635909,68,644.660678
-79.187756,521,652.907462
-17.036385,85,654.228703
-14.005287,79,655.503518
-273.753915,1600,687.788664
-12.474387,359,693.253355
-45.053303,429,699.802494
-521.519181,1144,724.95905
-50.597599,308,729.821611
-12.056225,79,731.070011
-22.717713,75,732.23625
-566.357563,720,743.344426
-256.413037,672,761.171869
-12.307965,77,762.341235
-12.25538,80,763.556057
-9.116514,77,764.768163
-19.197075,89,766.15558
-58.527708,424,772.874145
2.328722,55,773.706685
-362.083701,924,795.797518
-81.524565,339,801.196539
-225.732912,866,814.682782
-133.584787,364,820.428484
-24.775676,118,822.355189
-163.103387,745,841.960988
-493.81016,1424,871.531725
-136.290229,1600,896.710779
-2.961806,243,900.471601
-34.603689,122,909.550488
-35.278215,236,913.280058
-0.891257,208,916.564358
-598.526594,649,926.616077
-229.661606,1581,958.887743
-27.404651,95,960.41656
-355.814354,1600,993.294592
-14.051773,97,994.771542
-2.078485,78,996.003556
-16.867697,401,1002.206567
-4.768822,253,1006.211044
-685.807215,680,1016.920876
-20.381729,107,1018.575843
-83.406809,386,1031.969699
-10.552671,74,1033.118063
-146.601054,833,1046.002033
-27.493728,197,1049.012933
-39.403046,103,1050.697221
-74.264416,516,1058.776215
-0.214879,62,1059.764021
-301.10468,1112,1084.481749
-9.114888,181,1087.319365
0.058078,74,1088.438369
-7.534243,247,1092.43904
-275.321533,1003,1115.602283
-38.881377,314,1120.49464
-76.899706,476,1127.936604
-480.973463,1407,1157.160303
-1012.301937,840,1170.419446
-73.831132,276,1174.740821
-121.955918,349,1187.743661
-18.715256,154,1190.113137
-59.47682,501,1198.053563
-3.03111,241,1201.857362
3.949738,61,1202.857041
-330.316012,929,1217.513021
14.134658,46,1225.847871
-68.610015,537,1234.328579
-125.118756,964,1249.398101
12.233865,48,1250.131919
-61.285592,402,1256.478382
-142.411504,565,1272.672276
-11.345314,213,1275.978848
-27.945467,97,1277.461495
-36.967268,227,1281.046202
-31.834725,228,1284.609146
-18.310391,249,1288.449193
2.90207,69,1289.572437
-276.336498,349,1295.003535
-71.078796,307,1307.278424
-277.067097,1600,1332.625841
7.036121,86,1333.963114
-220.32017,548,1349.928754
-9.272736,73,1351.074722
-44.161151,473,1358.592447
-11.387388,319,1363.547917
7.335498,226,1367.075875
-26.117046,486,1374.705398
-130.867267,511,1390.004986
-358.138947,1600,1415.259328
-9.959518,87,1423.861923
-1.18724,118,1425.747292
-23.558557,162,1428.287178
-67.559233,476,1435.901766
-4.730312,107,1437.589908
-226.385829,1485,1468.848628
-427.799642,835,1482.169059
-602.660177,1600,1515.241661
-158.144611,302,1520.090527
-27.704424,105,1521.696669
-177.228413,369,1527.539619
-12.795694,83,1528.891337
-76.979773,929,1550.744873
-529.379698,1344,1572.108125
-125.51739,538,1588.107829
-21.918653,234,1591.911423
-169.998378,1168,1610.531981
25.455617,45,1611.264925
-2.578678,98,1612.811077
-137.699148,835,1634.020787
-88.625908,671,1644.760638
-142.61433,1031,1668.348861
15.949793,195,1671.490011
9.646401,98,1673.024251
-366.680121,1600,1706.605681
-106.496025,448,1713.790654
-236.827005,553,1722.790138
13.169293,78,1724.022347
-14.964192,148,1726.339793
-31.330645,392,1732.517721
-57.329811,449,1747.416374
-40.615633,410,1754.131332
-138.556056,429,1761.064885
-100.784313,524,1769.563942
-1.340956,103,1771.250699
-157.039156,1514,1802.975303
-385.523215,1508,1835.06717
-314.158604,1600,1868.090908
-80.52618,346,1873.719095
-118.319605,1346,1895.689502
-942.785876,1600,1928.824298
-30.477949,549,1937.739144
14.573857,181,1947.958778
-47.74356,383,1954.254392
-53.276473,669,1964.824132
-108.476857,559,1973.803075
-32.398885,113,1975.554066
-50.405487,968,1998.078353
-31.464611,170,2000.735862
-6.803548,486,2008.591671
-16.54424,226,2012.27397
-31.132911,643,2029.601791
-294.500306,1393,2051.897455
-13.825175,87,2053.252239
-51.518979,506,2068.617872
7.11001,62,2069.580637
-48.891135,126,2071.634726
-18.185862,119,2073.544886
-33.021189,293,2078.338817
-4.679366,163,2080.976036
-574.024204,840,2094.623948
-283.095997,750,2114.177315
-225.347698,1262,2134.512428
20.96544,65,2135.597237
22.269093,62,2136.570785
-33.429421,337,2149.193849
18.184121,50,2150.021867
17.326449,65,2151.031194
-52.25462,363,2156.970186
11.803679,222,2160.603204
-37.872621,263,2164.806396
-209.704458,827,2178.098545
30.673163,56,2179.015873
-458.455861,1600,2212.251502
-400.644764,912,2234.873661
-69.052288,463,2242.404784
4.80952,215,2245.815186
-120.327289,366,2251.769362
-31.740398,241,2255.549447
8.333573,72,2256.740683
-19.615759,260,2260.914637
-166.759608,515,2277.153968
-8.96556,324,2282.332746
-212.604169,750,2294.393621
-263.951105,738,2313.906762
-269.712423,1314,2335.292725
-19.40827,278,2339.776807
8.944485,84,2341.115659
-6.903652,196,2344.196002
-135.650378,369,2357.97564
-504.848742,1600,2383.673552
-49.314339,312,2395.907593
-85.275751,778,2408.363064
21.213349,61,2409.343103
1.052062,158,2411.941122
-230.956473,808,2425.075264
-16.263815,193,2435.609792
-438.221251,1600,2461.510387
-15.112811,486,2476.685332
-474.273711,1113,2494.828635
-13.977698,111,2496.632536
-51.84647,374,2502.586531
-368.798302,1265,2530.681903
-37.907445,183,2533.691942
18.907087,91,2535.100661
-14.586841,568,2544.307991
-279.186072,1033,2567.919663
20.578886,85,2569.241425
-187.282715,685,2580.336702
-14.834612,361,2586.153228
-11.774738,280,2597.967944
2.553095,249,2602.107314
-223.34134,869,2616.31979
-15.331935,470,2623.979745
-48.810474,796,2644.424397
28.827853,58,2645.365916
-656.819467,1257,2666.016443
-97.466986,370,2679.594283
9.254613,226,2683.339587
-338.39437,753,2695.816495
11.050797,177,2698.757395
42.865255,71,2699.990435
-34.872533,329,2705.26588
19.250421,144,2707.611878
18.068816,506,2723.227271
-708.677358,920,2738.12014
-258.795692,430,2745.375999
-16.448621,260,2749.741228
-58.018616,549,2765.851101
-128.812538,402,2772.405514
-16.587907,462,2780.018437
28.161803,74,2781.253719
-119.931567,975,2804.940793
16.613233,96,2806.499881
-41.404098,268,2810.949539
20.851853,76,2812.245095
30.351363,58,2813.213128
-330.30676,1504,2845.404315
-603.983093,696,2856.598489
-65.62374,313,2861.676592
-70.757287,297,2866.561409
-377.208669,1600,2900.112535
-5.555167,288,2904.850083
15.656124,314,2910.051277
-24.683251,423,2924.087429
28.49203,69,2925.176384
-94.580058,500,2933.414325
26.473404,101,2935.067269
-18.726216,159,2937.638144
-299.396618,1220,2965.20202
-20.316372,585,2974.737304
-458.833305,1164,2993.743835
-5.993089,195,3004.425312
16.702015,272,3008.922465
-129.326248,820,3022.168491
-629.202154,1132,3048.689141
-51.504197,467,3056.275207
9.975347,310,3061.485657
-249.962111,382,3067.653304
-123.760834,875,3089.567188
-36.958711,470,3097.365465
-39.589908,917,3112.490602
-15.41736,227,3116.331663
19.682551,166,3119.168026
15.954367,273,3131.652015
26.345917,71,3132.774521
23.36465,137,3135.062699
56.19874,93,3136.649987
10.761338,112,3138.474031
-7.66402,171,3141.36041
-459.036052,520,3149.846268
-176.54204,512,3158.182362
-18.24598,425,3172.74402
-67.135346,677,3183.792203
21.726831,155,3186.406207
30.619026,167,3189.306271
-98.041946,725,3201.287003
18.74628,147,3203.687528
-952.826139,1160,3229.972068
1.87237,235,3233.909394
29.362515,188,3236.954524
23.788835,184,3240.020404
-132.086968,1527,3272.121529
-3.097949,547,3281.109872
-31.812536,477,3296.122573
7.896046,223,3299.814037
18.143208,91,3301.269731
-5.458096,296,3306.166065
30.235303,221,3309.774065
18.26044,1162,3336.40998
-1.286858,459,3344.109902
33.508593,267,3348.570599
-62.828591,437,3355.817511
26.656547,276,3360.372259
23.243823,92,3361.911121
19.405506,103,3363.610663
37.707131,106,3365.366269
7.426543,633,3383.093818
48.019336,70,3384.24362
20.646579,195,3387.484623
-100.298621,1054,3404.869648
0.132369,308,3417.309881
20.830997,109,3419.124596
-199.575328,376,3425.307431
-108.128093,787,3438.541194
-309.168809,969,3462.042667
40.769127,275,3466.553167
-167.522584,626,3476.903332
-74.837658,977,3500.17478
-6.466214,289,3505.125007
21.900734,435,3512.322594
-32.448579,401,3519.024465
-14.688669,287,3523.890227
-95.088925,1146,3550.709918
-78.989128,921,3566.151004
-95.463276,275,3570.689246
-40.951837,714,3589.588078
17.081409,239,3593.588419
47.107838,109,3595.43338
-2.377815,409,3602.297147
41.200229,76,3603.537278
-1107.019825,1200,3630.735284
45.758953,69,3631.877694
43.295465,67,3632.965806
26.451167,196,3636.183732
-16.978237,329,3641.67427
29.241125,78,3642.936669
34.764794,150,3645.428987
-4.865654,338,3650.972777
14.276358,525,3667.446956
49.649857,141,3669.770605
-14.994911,167,3672.528009
-8.370563,219,3676.15935
32.39357,234,3680.042684
9.140464,269,3684.588673
22.992311,244,3688.669769
26.933986,80,3690.001768
4.716705,205,3693.474449
-2.503294,792,3714.531695
18.135341,384,3721.026912
-294.273013,654,3732.097769
